ID-dok;ID-præst;dato;helligdag;sogn str.;stift;årgang;køn;uddannelsessted
pr54_1;1;141005;16Trin_L;2467/2795;Viborg;1976;1;Aarhus
pr55_1;1;120923;16Trin_L;2467/2795;Viborg;1976;1;Aarhus
pr56_1;1;141018;18Trin_L;2467/2795;Viborg;1976;1;Aarhus
pr57_1;1;130929;18Trin_U;2467/2795;Viborg;1976;1;Aarhus
pr58_1;1;121007;18Trin_L;2467/2795;Viborg;1976;1;Aarhus
pr59_1;1;121014;19Trin_L;2467/2795;Viborg;1976;1;Aarhus
pr60_1;1;131006;19Trin_U;2467/2795;Viborg;1976;1;Aarhus
pr61_1;1;151018;20Trin_U; 4270 / 4891;Aarhus;1976;1;Aarhus
pr62_1;1;131020;21Trin_U;2467/2795;Viborg;1976;1;Aarhus
pr63_1;1;121028;21Trin_L;2467/2795;Viborg;1976;1;Aarhus
pr64_1;1;141116;22Trin_L;2467/2795;Viborg;1976;1;Aarhus
pr65_1;1;121118;24Trin_L;2467/2795;Viborg;1976;1;Aarhus
pr66_1;1;131110;24Trin_U;2467/2795;Viborg;1976;1;Aarhus
pr67_1;1;131117;25Trin_U;2467/2795;Viborg;1976;1;Aarhus
pr68_1;1;121104;AHelg_L;2467/2795;Viborg;1976;1;Aarhus
pr69_1;1;141102;AHelg_L;2467/2795;Viborg;1976;1;Aarhus
pr70_1;1;151101;AHelg_U; 4270 / 4891;Aarhus;1976;1;Aarhus
pr71_1;1;140302;Fas_L;2467/2795;Viborg;1976;1;Aarhus
pr72_1;1;130505;5Pås_U;2467/2795;Viborg;1976;1;Aarhus
pr73_1;1;130623;4Trin_U;2467/2795;Viborg;1976;1;Aarhus
pr74_1;1;130106;Hel_U;2467/2795;Viborg;1976;1;Aarhus
pr75_1;1;140501;Hel_L;2467/2795;Viborg;1976;1;Aarhus
pr76_1;1;121125;Sidst_L;2467/2795;Viborg;1976;1;Aarhus
pr77_1;1;130328;Skær_U;2467/2795;Viborg;1976;1;Aarhus
pr78_1;1;130426;Bed_U;2467/2795;Viborg;1976;1;Aarhus
pr79_1;1;140223;Seks_L;2467/2795;Viborg;1976;1;Aarhus
pr80_1;1;131224;Jul_L;2467/2795;Viborg;1976;1;Aarhus
pr81_1;1;121224;Jul_U;2467/2795;Viborg;1976;1;Aarhus
pr82_1;1;131225;JulD_L;2467/2795;Viborg;1976;1;Aarhus
pr83_1;1;121230;JulS_U;2467/2795;Viborg;1976;1;Aarhus
pr84_1;1;xxxxxx;JulS_x;2467/2795;Viborg;1976;1;Aarhus
pr85_1;1;130616;3Trin_U;2467/2795;Viborg;1976;1;Aarhus
pr86_1;1;120517;KHim_L;2467/2795;Viborg;1976;1;Aarhus
pr87_1;1;130509;KHim_U;2467/2795;Viborg;1976;1;Aarhus
pr88_1;1;150403;Lang_U; 4270 / 4891;Aarhus;1976;1;Aarhus
pr89_1;1;130317;MBeb_U;2467/2795;Viborg;1976;1;Aarhus
pr90_1;1;160306;MidF_L; 4270 / 4891;Aarhus;1976;1;Aarhus
pr91_1;1;130310;MidF_U;2467/2795;Viborg;1976;1;Aarhus
pr92_1;1;120318;MidF_L;2467/2795;Viborg;1976;1;Aarhus
pr93_1;1;140101;Ny_L;2467/2795;Viborg;1976;1;Aarhus
pr94_1;1;120101;Ny_L;2467/2795;Viborg;1976;1;Aarhus
pr95_1;1;140413;Pal_L;2467/2795;Viborg;1976;1;Aarhus
pr96_1;1;120401;Pal_L;2467/2795;Viborg;1976;1;Aarhus
pr97_1;1;120527;Pin_L;2467/2795;Viborg;1976;1;Aarhus
pr98_1;1;140608;Pin_L;2467/2795;Viborg;1976;1;Aarhus
pr99_1;1;141028;AHelg_L\SÆR;2467/2795;Viborg;1976;1;Aarhus
pr100_1;1;120226;1Fas_L;2467/2795;Viborg;1976;1;Aarhus
